"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",116.064707348014,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",122.704304855926,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",130.914701906089,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",137.878344447792,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",143.557648786141,
"AUS","HOUSECOST","RENT","IDX2015","Q","2020-Q4",101.055800317848,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q1",101.026404748724,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q2",101.266982770237,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q3",101.388335933637,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q4",101.423227185266,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q1",102.027532808228,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q2",102.910164733504,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q3",104.213804170806,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",139.998115760851,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",145.091089725002,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",150.527561295823,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",155.859591123407,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",161.57175784686,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",166.372907143412,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",169.155658704203,
"AUT","HOUSECOST","RENT","IDX2015","Q","2020-Q4",122.132584193779,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q1",123.037088638795,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q2",122.792987983651,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q3",120.828513638342,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q4",120.150519271262,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q1",120.39456487811,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q2",121.705279381721,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q3",123.175377096304,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q4",124.557721632046,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",122.190688197246,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",124.14787229964,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",126.49356693264,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",128.032456874982,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",129.556103891494,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",132.066021315812,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",134.00620981823,
"BEL","HOUSECOST","RENT","IDX2015","Q","2020-Q4",107.82025131338,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q1",108.22843818624,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",108.722620774721,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",109.431395057132,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",110.230478727878,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",110.880774318179,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",112.046707822029,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",113.550058745096,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q4",114.914359091499,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",144.245099019698,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",148.973314231431,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",157.50941985719,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",163.50539516341,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",166.75435252506,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",176.437646638571,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",183.876295401653,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",178.170728747824,
"CAN","HOUSECOST","RENT","IDX2015","Q","2020-Q4",107.602447554594,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q1",107.526100398854,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",108.556992271132,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",109.201996645719,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",109.99665421247,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",111.734455129584,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",113.363688303138,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",114.359704497133,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",115.040464471581,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",159.593129927321,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",168.947069145654,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",177.776662344025,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",189.516102560103,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",200.660165945938,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",210.332891841975,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",218.905989988117,
"CZE","HOUSECOST","RENT","IDX2015","Q","2020-Q4",114.176810350031,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q1",114.777893425073,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q2",115.870091489975,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q3",117.054948805083,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q4",118.430389586535,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q1",119.772811300331,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q2",121.233502421327,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q3",122.973302282468,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q4",124.520542063841,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",130.991572808621,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",135.263098838956,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",137.85766537847,
